uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,remarks,publicationDate,release
8fcae70a-4126-4ff7-bf26-c02add64155a,5C5AC0169FF24CA3B83C351B3CCB3096,SCBI_035.mammalGrid.mam,D02,SCBI,SCBI_035,J2,distributed,pastureHay,38.882192,-78.169985,WGS84,45.1,324,0.1,5 - capture,ShermanLF,2015-04-14T00:00:00Z,2015-04-14T00:00:00Z,NEON.MAM.D02.R1035,NA,MUMU,Mus musculus,species,NA,NEON.DOC.001908,I,M,N,NA,NA,adult,nonscrotal,NA,not,NA,19,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,unsuccessful,NA,NA,NA,SCBI.20150414.R1035.E,NA,NA,NA,NA,NA,NA,NA,20240112T151528Z,RELEASE-2024
ec421148-3d1b-4374-a934-43d62b08fdba,5C5AC0169FF24CA3B83C351B3CCB3096,SCBI_035.mammalGrid.mam,D02,SCBI,SCBI_035,I5,distributed,pastureHay,38.882192,-78.169985,WGS84,45.1,324,0.1,5 - capture,ShermanLF,2015-04-14T00:00:00Z,2015-04-14T00:00:00Z,NEON.MAM.D02.O035I5,NA,BLBR,Blarina brevicauda,species,NA,NEON.DOC.001908,N,U,N,dead,NA,adult,NA,NA,not,NA,15,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SCBI.20150414.O035I5.V,NA,dead in trap,20240112T151528Z,RELEASE-2024
8ddbd925-4103-41cb-9c09-b2bbfb684740,35CFAEB0E8FD4BEEB6A25C082C32C786,SCBI_008.mammalGrid.mam,D02,SCBI,SCBI_008,H6,distributed,deciduousForest,38.886446,-78.146422,WGS84,45.2,361.8,0.2,5 - capture,ShermanLF,2015-04-14T00:00:00Z,2015-04-14T00:00:00Z,NEON.MAM.D02.R1057,NA,PELE,Peromyscus leucopus,species,NA,NEON.DOC.001908,N,M,N,NA,NA,subadult,nonscrotal,NA,not,NA,19,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,unsuccessful,NA,NA,NA,SCBI.20150414.R1057.E,NA,SCBI.20150414.R1057.H,NA,hairOnly,NA,NA,NA,20240112T151528Z,RELEASE-2024
ec05f149-9570-4138-80fa-347284f9ee33,35CFAEB0E8FD4BEEB6A25C082C32C786,SCBI_008.mammalGrid.mam,D02,SCBI,SCBI_008,A3,distributed,deciduousForest,38.886446,-78.146422,WGS84,45.2,361.8,0.2,5 - capture,ShermanLF,2015-04-14T00:00:00Z,2015-04-14T00:00:00Z,NEON.MAM.D02.R1066,NA,PELE,Peromyscus leucopus,species,NA,NEON.DOC.001908,N,F,N,NA,NA,adult,NA,enlarged,not,neither,20,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,unsuccessful,NA,NA,NA,SCBI.20150414.R1066.E,NA,SCBI.20150414.R1066.H,NA,hairAndWhisker,NA,NA,"blood at mouth, noticed while taking whiskers",20240112T151528Z,RELEASE-2024
c777d34b-8637-4408-a4d6-4d736f0df953,35CFAEB0E8FD4BEEB6A25C082C32C786,SCBI_008.mammalGrid.mam,D02,SCBI,SCBI_008,H5,distributed,deciduousForest,38.886446,-78.146422,WGS84,45.2,361.8,0.2,5 - capture,ShermanLF,2015-04-14T00:00:00Z,2015-04-14T00:00:00Z,NEON.MAM.D02.R1096,NA,PELE,Peromyscus leucopus,species,NA,NEON.DOC.001908,N,M,N,NA,NA,adult,nonscrotal,NA,not,NA,19,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,unsuccessful,NA,NA,NA,SCBI.20150414.R1096.E,NA,SCBI.20150414.R1096.H,NA,hairAndWhisker,NA,NA,NA,20240112T151528Z,RELEASE-2024
74c7df7d-d5e4-45a9-9c78-2dcfcaf6555e,35CFAEB0E8FD4BEEB6A25C082C32C786,SCBI_008.mammalGrid.mam,D02,SCBI,SCBI_008,G8,distributed,deciduousForest,38.886446,-78.146422,WGS84,45.2,361.8,0.2,5 - capture,ShermanLF,2015-04-14T00:00:00Z,2015-04-14T00:00:00Z,NEON.MAM.D02.R1063,NA,PELE,Peromyscus leucopus,species,NA,NEON.DOC.001908,N,M,N,NA,NA,adult,scrotal,NA,not,NA,21,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,unsuccessful,NA,NA,NA,SCBI.20150414.R1063.E,NA,SCBI.20150414.R1063.H,NA,hairAndWhisker,NA,NA,NA,20240112T151528Z,RELEASE-2024
10ea91e2-9e88-436c-aff3-ca711037241b,5C5AC0169FF24CA3B83C351B3CCB3096,SCBI_035.mammalGrid.mam,D02,SCBI,SCBI_035,C10,distributed,pastureHay,38.882192,-78.169985,WGS84,45.1,324,0.1,5 - capture,ShermanLF,2015-04-14T00:00:00Z,2015-04-14T00:00:00Z,NEON.MAM.D02.R1029,NA,PELE,Peromyscus leucopus,species,NA,NEON.DOC.001908,N,M,N,NA,NA,subadult,nonscrotal,NA,not,NA,21,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,unsuccessful,SCBI.20150414.R1029.F,NA,fresh,SCBI.20150414.R1029.E,NA,SCBI.20150414.R1029.H,NA,hairAndWhisker,NA,NA,NA,20240112T151528Z,RELEASE-2024
1521d4cf-5e64-412a-830f-7250ed8385e5,114FCD09F89D46C99D440B362712865C,SCBI_008.mammalGrid.mam,D02,SCBI,SCBI_008,G3,distributed,deciduousForest,38.886446,-78.146422,WGS84,45.2,361.8,0.2,5 - capture,ShermanLF,2015-04-15T00:00:00Z,2015-04-15T00:00:00Z,NEON.MAM.D02.O008G3,NA,BLBR,Blarina brevicauda,species,NA,NEON.DOC.001908,N,U,N,dead,NA,adult,NA,NA,not,NA,12,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SCBI.20150415.O008G3.V,NA,dead in trap,20240112T151528Z,RELEASE-2024
8f3c352b-60c2-4627-b954-945f79d21b24,0ABABB56926844E199C61CB3FFCCD7EB,SCBI_035.mammalGrid.mam,D02,SCBI,SCBI_035,J8,distributed,pastureHay,38.882192,-78.169985,WGS84,45.1,324,0.1,5 - capture,ShermanLF,2015-04-15T00:00:00Z,2015-04-15T00:00:00Z,NEON.MAM.D02.R1033,NA,MUMU,Mus musculus,species,NA,NEON.DOC.001908,I,F,N,NA,NA,adult,NA,enlarged,not,neither,18,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,unsuccessful,NA,NA,NA,SCBI.20150415.R1033.E,NA,NA,NA,NA,NA,NA,old wound on tail,20240112T151528Z,RELEASE-2024
2085836a-c884-4771-8c2d-472b0cadc535,0ABABB56926844E199C61CB3FFCCD7EB,SCBI_035.mammalGrid.mam,D02,SCBI,SCBI_035,B9,distributed,pastureHay,38.882192,-78.169985,WGS84,45.1,324,0.1,5 - capture,ShermanLF,2015-04-15T00:00:00Z,2015-04-15T00:00:00Z,NEON.MAM.D02.953035,NA,MIPE,Microtus pennsylvanicus,species,NA,NEON.DOC.001908,N,M,N,NA,NA,adult,scrotal,NA,not,NA,21,NA,43,150,56,NA,NA,NA,NA,NA,NA,SCBI.20150415.953035.B,NA,mandibular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ears incredibly small, too small to get tissue",20240112T151528Z,RELEASE-2024
bf830b8a-c22c-4e42-b4f1-2564bcacde30,0ABABB56926844E199C61CB3FFCCD7EB,SCBI_035.mammalGrid.mam,D02,SCBI,SCBI_035,C9,distributed,pastureHay,38.882192,-78.169985,WGS84,45.1,324,0.1,5 - capture,ShermanLF,2015-04-15T00:00:00Z,2015-04-15T00:00:00Z,NEON.MAM.D02.R1064,NA,MIPE,Microtus pennsylvanicus,species,NA,NEON.DOC.001908,N,M,N,NA,NA,adult,nonscrotal,NA,not,NA,19,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,SCBI.20150415.R1064.B,NA,mandibular,SCBI.20150415.R1064.F,NA,fresh,SCBI.20150415.R1064.E,NA,NA,NA,NA,NA,NA,blood sample was small,20240112T151528Z,RELEASE-2024
a22765d3-b80b-4783-9988-92c36770d241,0ABABB56926844E199C61CB3FFCCD7EB,SCBI_035.mammalGrid.mam,D02,SCBI,SCBI_035,I10,distributed,pastureHay,38.882192,-78.169985,WGS84,45.1,324,0.1,5 - capture,ShermanLF,2015-04-15T00:00:00Z,2015-04-15T00:00:00Z,NEON.MAM.D02.R1062,NA,MIPE,Microtus pennsylvanicus,species,NA,NEON.DOC.001908,N,M,N,NA,NA,adult,scrotal,NA,not,NA,22,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,unsuccessful,SCBI.20150415.R1062.F,NA,fresh,SCBI.20150415.R1062.E,NA,NA,NA,NA,NA,NA,NA,20240112T151528Z,RELEASE-2024
a3cde650-f124-4fca-8ae7-f1ee29ff6db0,0ABABB56926844E199C61CB3FFCCD7EB,SCBI_035.mammalGrid.mam,D02,SCBI,SCBI_035,H8,distributed,pastureHay,38.882192,-78.169985,WGS84,45.1,324,0.1,5 - capture,ShermanLF,2015-04-15T00:00:00Z,2015-04-15T00:00:00Z,NEON.MAM.D02.R1079,NA,MUMU,Mus musculus,species,NA,NEON.DOC.001908,I,F,N,NA,NA,adult,NA,enlarged,not,neither,18,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,SCBI.20150415.R1079.B,NA,mandibular,NA,NA,NA,SCBI.20150415.R1079.E,NA,NA,NA,NA,NA,NA,NA,20240112T151528Z,RELEASE-2024
272e69de-3693-488f-b433-0fd666f4dc39,0ABABB56926844E199C61CB3FFCCD7EB,SCBI_035.mammalGrid.mam,D02,SCBI,SCBI_035,I4,distributed,pastureHay,38.882192,-78.169985,WGS84,45.1,324,0.1,5 - capture,ShermanLF,2015-04-15T00:00:00Z,2015-04-15T00:00:00Z,NEON.MAM.D02.R1038,NA,MIPE,Microtus pennsylvanicus,species,NA,NEON.DOC.001908,N,F,N,NA,NA,adult,NA,enlarged,pregnant,neither,21,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,SCBI.20150415.R1038.B,NA,mandibular,SCBI.20150415.R1038.F,NA,fresh,SCBI.20150415.R1038.E,NA,NA,NA,NA,NA,NA,NA,20240112T151528Z,RELEASE-2024
